M,depth,swap,graph
10,6,6,"[(3, 4), (3, 0), (3, 9), (4, 8), (4, 5), (1, 8), (1, 6), (1, 7), (8, 7), (0, 2), (0, 5), (6, 7), (6, 2), (2, 9), (9, 5)]"
10,8,9,"[(0, 1), (0, 3), (0, 9), (1, 7), (1, 6), (2, 4), (2, 9), (2, 3), (4, 5), (4, 7), (3, 8), (8, 5), (8, 6), (5, 6), (9, 7)]"
10,9,12,"[(0, 1), (0, 6), (0, 2), (1, 5), (1, 9), (2, 4), (2, 3), (4, 6), (4, 7), (5, 8), (5, 3), (8, 9), (8, 7), (9, 7), (6, 3)]"
12,11,17,"[(1, 3), (1, 9), (1, 4), (3, 4), (3, 11), (5, 11), (5, 8), (5, 10), (11, 8), (4, 7), (2, 7), (2, 10), (2, 0), (7, 10), (8, 6), (6, 0), (6, 9), (0, 9)]"
12,7,6,"[(9, 10), (9, 7), (9, 5), (10, 0), (10, 1), (3, 8), (3, 0), (3, 6), (8, 11), (8, 2), (0, 4), (4, 1), (4, 5), (2, 7), (2, 6), (7, 11), (6, 11), (1, 5)]"
12,8,8,"[(9, 10), (9, 8), (9, 11), (10, 3), (10, 1), (0, 7), (0, 6), (0, 5), (7, 2), (7, 4), (3, 8), (3, 2), (8, 1), (2, 6), (1, 5), (5, 4), (6, 11), (11, 4)]"
14,9,13,"[(6, 12), (6, 3), (6, 10), (12, 13), (12, 7), (3, 4), (3, 9), (4, 5), (4, 1), (13, 7), (13, 0), (5, 10), (5, 1), (10, 0), (8, 9), (8, 2), (8, 11), (9, 11), (0, 2), (2, 7), (11, 1)]"
14,9,12,"[(10, 12), (10, 6), (10, 1), (12, 5), (12, 9), (1, 9), (1, 4), (9, 13), (2, 11), (2, 8), (2, 7), (11, 3), (11, 5), (8, 3), (8, 7), (5, 3), (13, 0), (13, 4), (0, 4), (0, 6), (7, 6)]"
14,9,12,"[(3, 7), (3, 11), (3, 0), (7, 12), (7, 1), (4, 6), (4, 11), (4, 13), (6, 8), (6, 5), (5, 10), (5, 12), (10, 9), (10, 0), (9, 11), (9, 1), (1, 2), (2, 8), (2, 13), (8, 13), (12, 0)]"
16,8,15,"[(4, 15), (4, 11), (4, 10), (15, 10), (15, 7), (0, 5), (0, 13), (0, 12), (5, 9), (5, 1), (2, 11), (2, 7), (2, 12), (11, 1), (1, 9), (9, 7), (10, 8), (13, 14), (13, 6), (14, 6), (14, 8), (6, 3), (3, 12), (3, 8)]"
